status,duration,credit_history,purpose,credit_amount,saving_accounts,employment,investment_as_income_percentage,Personal status and sex,debtors,residence,property,age,installment_plans,housing,number_of_credits,job,dependent,telephone,foreign_worker
no checking account,10,Existing Credits,used car,2848,100 <= ... < 500 DM,4,1,male:single,co-applicant,2,real estate,32,none,own,1,skilled employee/official,2,none,yes
...<0 DM,6,Existing Credits,new car,14896,... < 100 DM,7+,1,male:single,none,4,no property,68,bank,own,1,highly skilled,1,yes,yes
...<0 DM,24,Existing Credits,furniture/equipment,2359,100 <= ... < 500 DM,unemployed,1,male:divorced/separated,none,1,life insurance,33,none,own,1,skilled employee/official,1,none,yes
...<0 DM,24,Existing Credits,furniture/equipment,3345,... < 100 DM,7+,4,male:single,none,2,life insurance,39,none,rent,1,highly skilled,1,yes,yes
no checking account,18,Critical,furniture/equipment,1817,... < 100 DM,4,4,female:divorced/separated/married,none,2,no property,28,none,own,2,skilled employee/official,1,none,yes
no checking account,48,Delay in Past,radio/television,12749,500 <= ... < 1000 DM,7,4,male:single,none,1,car or other,37,none,own,1,highly skilled,1,yes,yes
...<0 DM,9,Existing Credits,radio/television,1366,... < 100 DM,1,3,female:divorced/separated/married,none,4,life insurance,22,none,rent,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,12,Existing Credits,new car,2002,... < 100 DM,7,3,male:single,none,4,life insurance,30,none,rent,1,skilled employee/official,2,yes,yes
...<0 DM,24,Paid Credits,furniture/equipment,6872,... < 100 DM,1,2,male:divorced/separated,none,1,life insurance,55,bank,own,1,skilled employee/official,1,yes,yes
...<0 DM,12,Paid Credits,new car,697,... < 100 DM,1,4,male:single,none,2,car or other,46,bank,own,2,skilled employee/official,1,yes,yes
...<0 DM,18,Critical,furniture/equipment,1049,... < 100 DM,1,4,female:divorced/separated/married,none,4,life insurance,21,none,rent,1,skilled employee/official,1,none,yes
...<0 DM,48,Existing Credits,used car,10297,... < 100 DM,7,4,male:single,none,4,no property,39,store,free,3,skilled employee/official,2,yes,yes
no checking account,30,Existing Credits,radio/television,1867,unknown/ no savings account,7+,4,male:single,none,4,car or other,58,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,12,Delay in Past,new car,1344,... < 100 DM,4,4,male:single,none,2,real estate,43,none,own,2,unskilled-resident,2,none,yes
...<0 DM,24,Existing Credits,furniture/equipment,1747,... < 100 DM,1,4,male:single,co-applicant,1,life insurance,24,none,own,1,unskilled-resident,1,none,no
0 <= ...<200 DM,9,Existing Credits,radio/television,1670,... < 100 DM,1,4,female:divorced/separated/married,none,2,car or other,22,none,own,1,skilled employee/official,1,yes,yes
no checking account,9,Critical,new car,1224,... < 100 DM,4,3,male:single,none,1,real estate,30,none,own,2,skilled employee/official,1,none,yes
no checking account,12,Critical,radio/television,522,500 <= ... < 1000 DM,7+,4,male:single,none,4,life insurance,42,none,own,2,skilled employee/official,2,yes,yes
...<0 DM,12,Existing Credits,radio/television,1498,... < 100 DM,4,4,female:divorced/separated/married,none,1,car or other,23,bank,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,30,Delay in Past,radio/television,1919,100 <= ... < 500 DM,1,4,male:single,none,3,no property,30,store,own,2,highly skilled,1,none,yes
... >= 200 DM ,9,Existing Credits,radio/television,745,... < 100 DM,4,3,female:divorced/separated/married,none,2,real estate,28,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,6,Existing Credits,radio/television,2063,... < 100 DM,1,4,male:married/widowed,none,3,car or other,30,none,rent,1,highly skilled,1,yes,yes
0 <= ...<200 DM,60,Existing Credits,education,6288,... < 100 DM,4,4,male:single,none,4,no property,42,none,free,1,skilled employee/official,1,none,yes
no checking account,24,Critical,used car,6842,unknown/ no savings account,4,2,male:single,none,4,life insurance,46,none,own,2,highly skilled,2,yes,yes
no checking account,12,Existing Credits,new car,3527,unknown/ no savings account,1,2,male:single,none,3,life insurance,45,none,own,1,highly skilled,2,yes,yes
no checking account,10,Existing Credits,new car,1546,... < 100 DM,4,3,male:single,none,2,real estate,31,none,own,1,unskilled-resident,2,none,no
no checking account,24,Existing Credits,furniture/equipment,929,unknown/ no savings account,7,4,male:single,none,2,car or other,31,store,own,1,skilled employee/official,1,yes,yes
no checking account,4,Critical,new car,1455,... < 100 DM,7,2,male:single,none,1,real estate,42,none,own,3,unskilled-resident,2,none,yes
...<0 DM,15,Existing Credits,furniture/equipment,1845,... < 100 DM,1,4,female:divorced/separated/married,guarantor,1,life insurance,46,none,rent,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,48,No Credits,new car,8358,500 <= ... < 1000 DM,1,1,female:divorced/separated/married,none,1,car or other,30,none,own,2,skilled employee/official,1,none,yes
...<0 DM,24,Paid Credits,furniture/equipment,3349,500 <= ... < 1000 DM,1,4,male:single,none,4,no property,30,none,free,1,skilled employee/official,2,yes,yes
no checking account,12,Existing Credits,new car,2859,unknown/ no savings account,unemployed,4,male:single,none,4,no property,38,none,own,1,highly skilled,1,yes,yes
no checking account,18,Existing Credits,furniture/equipment,1533,... < 100 DM,1,4,male:married/widowed,co-applicant,1,life insurance,43,none,own,1,unskilled-resident,2,none,yes
no checking account,24,Existing Credits,radio/television,3621,100 <= ... < 500 DM,7+,2,male:single,none,4,car or other,31,none,own,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,18,Critical,business,3590,... < 100 DM,unemployed,3,male:married/widowed,none,3,car or other,40,none,own,3,unemployed/unskilled-non resident,2,yes,yes
...<0 DM,36,Delay in Past,business,2145,... < 100 DM,7,2,male:single,none,1,car or other,24,none,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,24,Existing Credits,used car,4113,500 <= ... < 1000 DM,1,3,female:divorced/separated/married,none,4,car or other,28,none,rent,1,skilled employee/official,1,none,yes
no checking account,36,Existing Credits,furniture/equipment,10974,... < 100 DM,unemployed,4,female:divorced/separated/married,none,2,car or other,26,none,own,2,highly skilled,1,yes,yes
...<0 DM,12,Existing Credits,new car,1893,... < 100 DM,4,4,female:divorced/separated/married,guarantor,4,life insurance,29,none,own,1,skilled employee/official,1,yes,yes
...<0 DM,24,Critical,radio/television,1231,.. >= 1000 DM,7+,4,female:divorced/separated/married,none,4,life insurance,57,none,rent,2,highly skilled,1,yes,yes
... >= 200 DM ,30,Critical,radio/television,3656,unknown/ no savings account,7+,4,male:single,none,4,life insurance,49,store,own,2,unskilled-resident,1,none,yes
0 <= ...<200 DM,9,Critical,radio/television,1154,... < 100 DM,7+,2,male:single,none,4,real estate,37,none,own,3,unskilled-resident,1,none,yes
...<0 DM,28,Existing Credits,new car,4006,... < 100 DM,4,3,male:single,none,2,car or other,45,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,24,Existing Credits,furniture/equipment,3069,100 <= ... < 500 DM,7+,4,male:single,none,4,no property,30,none,free,1,skilled employee/official,1,none,yes
no checking account,6,Critical,radio/television,1740,... < 100 DM,7+,2,male:married/widowed,none,2,real estate,30,none,rent,2,skilled employee/official,1,none,yes
0 <= ...<200 DM,21,Delay in Past,new car,2353,... < 100 DM,4,1,male:divorced/separated,none,4,life insurance,47,none,own,2,skilled employee/official,1,none,yes
no checking account,15,Existing Credits,new car,3556,unknown/ no savings account,4,3,male:single,none,2,no property,29,none,own,1,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,radio/television,2397,500 <= ... < 1000 DM,7+,3,male:single,none,2,car or other,35,bank,own,2,skilled employee/official,1,yes,yes
0 <= ...<200 DM,6,Existing Credits,repairs,454,... < 100 DM,1,3,male:married/widowed,none,1,life insurance,22,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,30,Existing Credits,radio/television,1715,unknown/ no savings account,4,4,female:divorced/separated/married,none,1,car or other,26,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,27,Critical,radio/television,2520,500 <= ... < 1000 DM,4,4,male:single,none,2,life insurance,23,none,own,2,unskilled-resident,1,none,yes
no checking account,15,Existing Credits,radio/television,3568,... < 100 DM,7+,4,female:divorced/separated/married,none,2,car or other,54,bank,rent,1,highly skilled,1,yes,yes
no checking account,42,Existing Credits,radio/television,7166,unknown/ no savings account,7,2,male:married/widowed,none,4,life insurance,29,none,rent,1,skilled employee/official,1,yes,yes
...<0 DM,11,Critical,new car,3939,... < 100 DM,4,1,male:single,none,2,real estate,40,none,own,2,unskilled-resident,2,none,yes
0 <= ...<200 DM,15,Existing Credits,repairs,1514,100 <= ... < 500 DM,4,4,male:single,guarantor,2,real estate,22,none,own,1,skilled employee/official,1,none,yes
no checking account,24,Existing Credits,new car,7393,... < 100 DM,4,1,male:single,none,4,life insurance,43,none,own,1,unskilled-resident,2,none,yes
...<0 DM,24,Paid Credits,new car,1193,... < 100 DM,unemployed,1,female:divorced/separated/married,co-applicant,4,no property,29,none,rent,2,unemployed/unskilled-non resident,1,none,yes
...<0 DM,60,Existing Credits,business,7297,... < 100 DM,7+,4,male:single,co-applicant,4,no property,36,none,rent,1,skilled employee/official,1,none,yes
no checking account,30,Critical,radio/television,2831,... < 100 DM,4,4,female:divorced/separated/married,none,2,car or other,33,none,own,1,skilled employee/official,1,yes,yes
... >= 200 DM ,24,Existing Credits,radio/television,1258,500 <= ... < 1000 DM,4,3,female:divorced/separated/married,none,3,car or other,57,none,own,1,unskilled-resident,1,none,yes
0 <= ...<200 DM,6,Existing Credits,radio/television,753,... < 100 DM,4,2,female:divorced/separated/married,guarantor,3,real estate,64,none,own,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,18,Delay in Past,business,2427,unknown/ no savings account,7+,4,male:single,none,2,life insurance,42,none,own,2,skilled employee/official,1,none,yes
no checking account,24,Delay in Past,new car,2538,... < 100 DM,7+,4,male:single,none,4,car or other,47,none,own,2,unskilled-resident,2,none,yes
0 <= ...<200 DM,15,Paid Credits,new car,1264,100 <= ... < 500 DM,4,2,male:married/widowed,none,2,life insurance,25,none,rent,1,skilled employee/official,1,none,yes
0 <= ...<200 DM,30,Critical,furniture/equipment,8386,... < 100 DM,7,2,male:single,none,2,life insurance,49,none,own,1,skilled employee/official,1,none,yes
no checking account,48,Existing Credits,business,4844,... < 100 DM,unemployed,3,male:single,none,2,car or other,33,bank,rent,1,highly skilled,1,yes,yes
... >= 200 DM ,21,Existing Credits,new car,2923,100 <= ... < 500 DM,4,1,female:divorced/separated/married,none,1,car or other,28,bank,own,1,highly skilled,1,yes,yes
...<0 DM,36,Existing Credits,used car,8229,... < 100 DM,4,2,male:single,none,2,life insurance,26,none,own,1,skilled employee/official,2,none,yes
no checking account,24,Critical,furniture/equipment,2028,... < 100 DM,7,2,male:single,none,2,life insurance,30,none,own,2,unskilled-resident,1,none,yes
...<0 DM,15,Critical,furniture/equipment,1433,... < 100 DM,4,4,female:divorced/separated/married,none,3,life insurance,25,none,rent,2,skilled employee/official,1,none,yes
... >= 200 DM ,42,No Credits,business,6289,... < 100 DM,1,2,male:divorced/separated,none,1,life insurance,33,none,own,2,skilled employee/official,1,none,yes
no checking account,13,Existing Credits,radio/television,1409,100 <= ... < 500 DM,unemployed,2,female:divorced/separated/married,none,4,real estate,64,none,own,1,skilled employee/official,1,none,yes
...<0 DM,24,Existing Credits,used car,6579,... < 100 DM,unemployed,4,male:single,none,2,no property,29,none,free,1,highly skilled,1,yes,yes
0 <= ...<200 DM,24,Critical,radio/television,1743,... < 100 DM,7+,4,male:single,none,2,life insurance,48,none,own,2,unskilled-resident,1,none,yes
no checking account,12,Critical,education,3565,unknown/ no savings account,1,2,male:single,none,1,life insurance,37,none,own,2,unskilled-resident,2,none,yes
no checking account,15,Paid Credits,radio/television,1569,100 <= ... < 500 DM,7+,4,male:single,none,4,car or other,34,bank,own,1,unskilled-resident,2,none,yes
...<0 DM,18,Existing Credits,radio/television,1936,unknown/ no savings account,7,2,male:married/widowed,none,4,car or other,23,none,rent,2,unskilled-resident,1,none,yes
...<0 DM,36,Existing Credits,furniture/equipment,3959,... < 100 DM,unemployed,4,male:single,none,3,life insurance,30,none,own,1,highly skilled,1,yes,yes
no checking account,12,Existing Credits,new car,2390,unknown/ no savings account,7+,4,male:single,none,3,car or other,50,none,own,1,skilled employee/official,1,yes,yes
no checking account,12,Existing Credits,furniture/equipment,1736,... < 100 DM,7,3,female:divorced/separated/married,none,4,real estate,31,none,own,1,unskilled-resident,1,none,yes
...<0 DM,30,Existing Credits,used car,3857,... < 100 DM,4,4,male:divorced/separated,none,4,life insurance,40,none,own,1,highly skilled,1,yes,yes
no checking account,12,Existing Credits,radio/television,804,... < 100 DM,7+,4,male:single,none,4,car or other,38,none,own,1,skilled employee/official,1,none,yes
...<0 DM,45,Existing Credits,radio/television,1845,... < 100 DM,4,4,male:single,none,4,no property,23,none,free,1,skilled employee/official,1,yes,yes
0 <= ...<200 DM,45,Critical,used car,4576,100 <= ... < 500 DM,unemployed,3,male:single,none,4,car or other,27,none,own,1,skilled employee/official,1,none,yes
